text,binary,multiclass
"Solo por interés, ¿qué aspecto particular de la ""verdad"" estás llegando aquí?",Not Hope,Sarcasm
He oído hablar de familias de cabeza grande. ,Not Hope,Sarcasm
Acabo de descargar la aplicación @Achievement: ¡veamos si mejora mi rutina de ejercicios!,Hope,Sarcasm
"\ ""Te doy todas las plantas de semillas sobre el hecho de toda la tierra y cada árbol que tiene fruta con semillas. Serán suyas para bien. Y a todas las bestias de la tierra y todas las aves del aire y todas las criaturas que se mueven en el suelo, cada cosa que tiene la respiración de la vida en ella, dio cada planta verde para la comida. ",Hope,Sarcasm
Aceptamos tu Forfiet. ,Hope,Sarcasm
"Vive en Arizona, un estado republicano. ",Not Hope,Sarcasm
Me encanta cuando Jonny me hace usar auriculares para ver algo en mi teléfono para que pueda jugar FIFA,Not Hope,Sarcasm
Ven a Skid Row con el resto de nosotros 'clase baja' incluso compraré una botella de MD 20/20 en mí.,Hope,Sarcasm
"Hola Matt, si ese pincel fuera más amplio, podrías pintar una habitación en solo cinco minutos",Hope,Sarcasm
"Entonces crees que si un niño amenaza con disparar a la escuela, debería ser ignorado como una travesura inocente de los niños .......... dígale a los niños que murieron en Colombine ...",Not Hope,Sarcasm
"Dakota del Norte: *tiene una semana decente de clima *
",Hope,Sarcasm
Ustedes van por la borda en esto. ,Not Hope,Sarcasm
¿mmm? ,Hope,Sarcasm
@Schlippertysch1 @anon_opin muy bueno. ,Hope,Sarcasm
"Como dije en otro hilo, el argumento que escucho con mayor frecuencia de los llamados ""pro-Coicers"" es que no puedes legislar la moralidad. ",Hope,Sarcasm
"Oh sí ..., ¿cuánto tiempo se tarda en caminar de un extremo del país al otro? ",Not Hope,Sarcasm
Realmente no el parque de pelota es demasiado ancho. ,Not Hope,Sarcasm
"Ok, entonces @bytereview y yo decidimos grabar la noche del 6, ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¿¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ",Hope,Sarcasm
"O mejor aún, intente hacer su tarea antes de hacer publicaciones. ",Not Hope,Sarcasm
"Oh, claro, intenta tomar el camino más alto ahora. ",Not Hope,Sarcasm
No de humor? ,Not Hope,Sarcasm
"Llama a los Dickens de un humanismo francés políticamente correcto, políticamente correcto.",Not Hope,Sarcasm
¿Dónde? ,Not Hope,Sarcasm
"Sí, has refutado cada una de mis publicaciones con retórica. ",Not Hope,Sarcasm
¿Confundido? ,Not Hope,Sarcasm
"Oh ..., bueno ..., supongo que eso lo hace bien entonces;)",Not Hope,Sarcasm
Ese sería un beso infernal ... probablemente te ahogas primero :),Hope,Sarcasm
"No, no lo hubieras hecho. ",Not Hope,Sarcasm
Fue una pregunta hipotética que ha sido respondida ... por favor trata de mantenerse al día.,Hope,Sarcasm
"Si llevar armas se legalizó, ¡la policía ya no podría arrestar a las personas por llevar armas ilegalmente! ",Not Hope,Sarcasm
"Oh, por favor, ¿ha buscado recientemente en algún economía, negocios o de derecho?",Not Hope,Sarcasm
Veo que no sabes nada sobre el tema ... apenas una sorpresa.,Not Hope,Sarcasm
"¡No tienes idea de lo feliz de que estaba de que estaba sentado cuando leí esto! Primero, me sorprende que no hayas etiquetado con todos los que afirman ver a los liberales de los ovnis. Entonces tengo que preguntarme, en algún momento no, el RCC dijo que éramos el centro del universo, ... el sol dio la vuelta a la tierra, ... ¿la tierra fue plana? ",Not Hope,Sarcasm
"Solo tenías que traer a Godwin a ti, ¿no? ",Not Hope,Sarcasm
No hay un enlace que conozco .............. ¿Sabes qué es Cspan? ,Hope,Sarcasm
"Uhm, te das cuenta de que los humanos y los chimpancés no son las mismas cosas que los perros, los gatos, los caballos y los tiburones ... ¿verdad?  ",Not Hope,Sarcasm
"Hola Doofus, no hiciste ningún esfuerzo para calificar si esas personas eran transportistas con licencia o simplemente tenían un arma en la casa o la bóveda en el banco. ",Not Hope,Sarcasm
¿Por qué deberías mutilar a tu hijo? ,Not Hope,Sarcasm
"Pero, ¿debería la legislatura elegida basada en parte en la política partidista decirle a nuestros tribunales qué caso mirar y qué caso no mirar? ",Not Hope,Sarcasm
"Bueno, supongo que Dios creó la manzana y la dotó con bajos niveles de cianuro con el propósito específico de castigar al hombre si consume demasiados. ",Not Hope,Sarcasm
Te estás mintiendo a ti mismo ... así que seguiré haciéndote saber hasta que la nube de ilusión se disipa.,Not Hope,Sarcasm
"No solo tuve que cuidar a los pacientes covid anoche, sino que mi enfermera de cargo me dijo que los matorrales covid me hacen mirar `` `` Inconocido ",Not Hope,Sarcasm
¿Por qué no? ,Not Hope,Sarcasm
no precisamente. ,Hope,Sarcasm
Miller Case no hizo nada para defender el reclamo de la milicia de la gente de control de armas. ,Not Hope,Sarcasm
No voy a ir a ningún lado con este hilo. ,Not Hope,Sarcasm
Pensarías que las probabilidades de que me sienten al mismo tiempo que los mismos viajes de autobuses apestan en una fila son muy poco probables. ,Not Hope,Sarcasm
Rodgers era un pedófilo y Big Bird era un flamer. ,Not Hope,Sarcasm
¿Estás bromeando? ,Not Hope,Sarcasm
"Responderé que tan pronto como encuentre un ortodx, conservador, reforma, reconstrucciones o rabino karsite que dice que el Echad en el Shema es un compuesto",Not Hope,Sarcasm
"¡Dios mío, mis padres están viendo algo en Apple TV+, brillante, otro servicio de transmisión! ",Not Hope,Sarcasm
Apuesto a 12 codos que WW no tiene comprensión de lo que acaba de vincular.,Not Hope,Sarcasm
"Creo que si eso sucedió, Texas probablemente volverá a ser el estado de la estrella solitaria.",Hope,Sarcasm
"De acuerdo, entonces crees que Dios creó el mundo en 6 días, creó ciertos cuerpos de vida y celestre en ciertos de esos días, y el hombre del polvo y la mujer de una costilla; ",Not Hope,Sarcasm
"¿No te encanta cuando te enfrías en tu habitación y luego hay una araña y la matas, pero cuando lo matas, derramas refrescos por todo tu teclado sí, sí?",Not Hope,Sarcasm
Y es el calor el que restablece el reloj. ,Not Hope,Sarcasm
jeje ... ¿Tres negaciones en una sentencia Tammerlain? ,Not Hope,Sarcasm
"Si ese es el caso, desearía que alguien me desconecte. ",Hope,Sarcasm
"Bueno, ciertamente defendiste este video, Arcángel. ",Not Hope,Sarcasm
Parece que has tratado de analizar todo lo que digo como 'mis' experiencias de vida '. ,Not Hope,Sarcasm
"Su ""opinión"" era una pregunta de jardín de infantes que describía un ""problema"" que nunca existió, un ""problema"" que se le explicó 3 o 4 veces. ",Not Hope,Sarcasm
¿No tenemos todos? ,Not Hope,Sarcasm
¿Y cuáles son las opciones de las llamadas personas 'pro-vida'? ,Not Hope,Sarcasm
¡Gracias a @Orchardmead por organizar pizza y helado! ,Hope,Sarcasm
Necesitamos normalizar tener un cabello dañado de lejía absolutamente frito. ,Hope,Sarcasm
¿Alguien aquí se opondría a su hija de 16 años acampando con hombres de 21 años? ,Not Hope,Sarcasm
"emoticonxbanghead 
",Not Hope,Sarcasm
Y es la naturaleza de los teóricos de la conspiración tropezar con algunos pequeños hechos y dejar que su gran imaginación se escape con la tierra de hacer creyos. ,Not Hope,Sarcasm
¿A alguien le gustaría darme algo de dinero? ,Hope,Sarcasm
Su conocimiento de la historia es aterrador. ,Not Hope,Sarcasm
"Entonces, ¿su afirmación es que cientos de miles de armas de fuego robadas de residencias anualmente es solo par del curso?",Not Hope,Sarcasm
"En realidad, eso era obvio según su tipo de razonamiento irracional.",Not Hope,Sarcasm
Detenga a las comunidades de vida de jubilación de la puerta. ,Hope,Sarcasm
"<Modo de sarcasmo en> Es agresión sexual porque cuando se sobrió y se dio cuenta de lo que había hecho, la pequeña querida no podría haber sido responsable de sus propias acciones.  ",Not Hope,Sarcasm
"En cuanto a los insultos, este no tiene sentido, excepto en su pequeña mente. ¿Y hice su lista de ignoraciones? ¡Finalmente! ",Not Hope,Sarcasm
"Wow, vamos a aplaudir por ese gran argumento para el evolucionismo. ",Not Hope,Sarcasm
"<lush>
",Not Hope,Sarcasm
"Este viejo hombre camina 3 millas/día, nunca ha roto un hueso importante y solo ha tenido una operación como estudiante universitario para eliminar mi apéndice. ",Not Hope,Sarcasm
Oh bueno. ,Hope,Sarcasm
Entonces ese molesto niño que sube tu cerca para recuperar su pelota es un juego justo. ,Not Hope,Sarcasm
"Y, supongo que el sacerdote no estaba aterrorizando a su víctima y no le decía al pobre niño que era ""la voluntad de Dios"".",Not Hope,Sarcasm
"Disfrute de los bares y viñedos������ 
",Hope,Sarcasm
Vor es tan católico como el arzobispo de Cantebury. ,Not Hope,Sarcasm
"Si se supone que Dios es omnibenevolente, ¿por qué deberíamos temerlo? ",Not Hope,Sarcasm
Acabo de terminar de leer tus contribuciones a este hilo y estoy asombrado por el puro bombardeo de su tono y el ciencia en su contenido. ,Not Hope,Sarcasm
"Muchas de las denominaciones cristianas les ignoran de la misma manera que ignoran las prohibiciones contra el cerdo, la tela mixta y la apedreza hasta la muerte de sus hijos porque te atacan.",Not Hope,Sarcasm
"No puede pecar, hacer que una adolescente sea llamada en una posición de una noche, pero no pecado. ",Not Hope,Sarcasm
"En cuanto a la primera parte, te respondí arriba. ",Not Hope,Sarcasm
"Sí, qué tonto de mi parte debatirlo en 'puntos'. ",Not Hope,Sarcasm
Supongo que nadie quería pescarlo en la taza del inodoro. ,Not Hope,Sarcasm
Tal vez deberías subtitular este hilo: el derecho a una escuela con padres perfectos. ,Not Hope,Sarcasm
"Ok, creo que entiendo tu punto, no te importan las leyes, así que haces lo que quieras, no estás de acuerdo con algo, así que quieres que quieras hacer.
",Not Hope,Sarcasm
"Suena como una enmienda de la factura de aborto para restringir todos los viajes por menores es necesario por aquellos que exigen que las niñas dan a luz después de ser impregnadas por violadores, padres, tíos, etc., también podría incluir adultos, solo para simplificar las cosas y mejorar el poder de la policía estatal. ",Not Hope,Sarcasm
... porque todos saben que no hay hombres casados ​​que abusen sexualmente de hijos. ,Not Hope,Sarcasm
"Si vi a un Capybara en persona, probablemente vomite",Hope,Sarcasm
"Escuché un rumor de que Baja Blast vendrá a las tiendas e independientemente de lo que sea algo que espero en la vida caiga, al menos tendré esto.",Hope,Sarcasm
¿Entonces estás diciendo que determinamos nuestro ADN? ,Not Hope,Sarcasm
"Te pediría un enlace, pero esta vez no me siento generoso.  ",Not Hope,Sarcasm
"Sí, debemos obedecer la voluntad de la gente. ¡La votación fue totalmente justa! Entonces ... ¿por qué los que obviamente votaron por M.A.Miots?",Not Hope,Sarcasm
¿Sabes cuántos Osama Bin Ladens matamos? ,Not Hope,Sarcasm
"Muchas mujeres musulmanas que usan hijab de algún tipo u otro nacieron en Occidente (no conozco a ninguno que use el burka, es bastante raro), ¿a dónde estás sugiriendo que vuelvan? ",Not Hope,Sarcasm
Oh libre mercado ???? ,Hope,Sarcasm
No ... ve a leer la Biblia antes de que te ves más tonto de lo que ya lo haces. ,Not Hope,Sarcasm
Eso también podría ser muy efectivo de manera positiva durante los discursos de campaña política.,Hope,Sarcasm
Impresionante. ,Not Hope,Sarcasm
¿Es tu pensamiento realmente tan simplista? ,Not Hope,Sarcasm
"Oh sí, todos los científicos, compositores, escritores, bandas más famosos. ",Not Hope,Sarcasm
¿de qué estás hablando? ,Not Hope,Sarcasm
@rits_meg @freedomsenpai hot loli,Not Hope,Sarcasm
"Sí, y todos sabemos qué pasó cuando hicieron eso con Galileo. ",Not Hope,Sarcasm
¿Alguien más escucha a algunos como truenos o algo así?,Not Hope,Sarcasm
Y no lo hice. ,Not Hope,Sarcasm
@Moffstovoi bien hecho! ,Hope,Sarcasm
"Todos por favor dejen de disparar fuegos artificiales, mi perro está asustado :(",Not Hope,Sarcasm
"Oh Hank, realmente eres divertido. ",Not Hope,Sarcasm
Creo que es un truco bastante bueno para un bebé muerto para sentarse en esa pequeña bañera.,Not Hope,Sarcasm
"Es un verdadero desastre, aunque debes darles puntos para la originalidad.",Not Hope,Sarcasm
"¿Qué parte de ""No quiero un pene"" no entiendes del todo? 
",Not Hope,Sarcasm
Probablemente una buena excusa. ,Not Hope,Sarcasm
¡Dile eso a un niño de 17 años! ,Not Hope,Sarcasm
"Tal vez deberías formar una religión para los homosexuales solo donde todos los miembros tienen que casarse entre sí ... luego presionar por el tema sobre los derechos de las libertades religiosas.
",Not Hope,Sarcasm
"Sí, la Biblia nos dice que Dios mismo evitará que el faraón deje ir a los israelitas, ¡luego gire a la derecha y castigue al faraón matando a su primogénito! 
",Not Hope,Sarcasm
"Oh, Mrwriterman hizo un divertido. ",Not Hope,Sarcasm
¿No se te ocurre tu propia línea? ,Not Hope,Sarcasm
Eres tan loony como ella. ,Not Hope,Sarcasm
"No lo tome personal, la enfermedad mental es una enfermedad, no es algo sobre lo que pueda hacer nada ...",Not Hope,Sarcasm
Jyoshu. ,Not Hope,Sarcasm
"¿Crees que eres bastante inteligente, ¿eh? ",Not Hope,Sarcasm
¡Y de repente la lista de declaraciones incorrectas de Vor ha terminado otra vuelta alrededor del universo! ,Not Hope,Sarcasm
"Ganar cualquier elección política nunca se ha tratado de elegir al ""mejor"" hombre para el cargo, simplemente significa que apele a la mayoría de las personas que se presentaron para votar. ",Not Hope,Sarcasm
"Entonces, ¡después de todo, algunas partes de la Biblia son historia oral errónea! ",Not Hope,Sarcasm
"Para una buena risa, sígueme en @VshelTonsports para ver mi mejor intento de cubrir las noticias de negocios deportivos para la clase este semestre.",Hope,Sarcasm
"Voy a cortar el contacto con cada persona que conozco y emerger en unos meses o un año a partir de ahora después de haber perdido la capacidad de hablar físicamente, pero poder jugar el acordeón más malo que alguna vez has escuchado en tu pequeña vida patética",Not Hope,Sarcasm
"Vinculame a uno decir que la ""adicción"" a la marihuana es peor que el alcoholismo, por favor.",Not Hope,Sarcasm
"""Patrón militar, agarre independiente de la pistola: tal vez esto es lo que hace que un arma de fuego normal sea un arma de asalto de alta potencia de Super Duper. Podría suceder, ya sabes, engañe ese .22lr en un rifle de francotirador de .50 Cal.",Not Hope,Sarcasm
¿Por qué? ,Not Hope,Sarcasm
Una historia ligeramente anterior muestra que Clinton no estaba tan preocupado por Bin Laden. ,Not Hope,Sarcasm
El hada del diente tiene una función diferente a la de Pascua.,Not Hope,Sarcasm
Estaba pensando lo mismo. ,Not Hope,Sarcasm
Parece que alguien no pudo agarrarse con el hecho de que era un racista más cercano. ,Not Hope,Sarcasm
¡No creí! ,Hope,Sarcasm
¿Hablas en serio? ,Not Hope,Sarcasm
@lora__ sorprendido. ,Not Hope,Sarcasm
"El hecho de que se emitió en MSNBC y Keith Olbermann me dice que solo podría ser inclinado de una manera.
",Not Hope,Sarcasm
"Supongo, entonces, que no tienes vida. ",Not Hope,Sarcasm
Supongo que es bueno que no haya respondido y/o hablar contigo entonces. ,Not Hope,Sarcasm
"Escuchar te amo es agradable y todo, pero ¿alguna vez te han dicho que comas mierda? ",Not Hope,Sarcasm
"Ciertamente, un término que nunca se ha oído hablar; ",Not Hope,Sarcasm
@kashirenaii nunca iría a seis banderas contigo,Not Hope,Sarcasm
Ochenta y nueve veces. ,Not Hope,Sarcasm
"Entonces, ¿la forma más rápida de obtener más de 20,000 puntos es no ser serio? ",Not Hope,Sarcasm
Se trata de mujeres en luchas de tallo. ,Not Hope,Sarcasm
"Sobre la evidencia, ese debe haber estado donde se encontraba su cerebro.",Not Hope,Sarcasm
"Jyoshu, deja de beber el Kool-Aid antes de que tu cerebro esté totalmente frito.",Not Hope,Sarcasm
mmm. ,Not Hope,Sarcasm
"""Solía ​​ser"". ",Hope,Sarcasm
"Si pudiéramos frotar una lámpara de latón, hacer tres deseos y solucionar nuestros problemas de energía de inmediato, estaría de acuerdo con usted. ",Hope,Sarcasm
No estoy de acuerdo. ,Not Hope,Sarcasm
Más brillo de la Biblia. ,Not Hope,Sarcasm
"¿Dónde está tu ""prueba"" de que un ser mágico en los cielos nos creó?",Not Hope,Sarcasm
"Sí, a tu potencial cónyuge le gustará tu personalidad después de cumplir con el requisito previo de ser el género adecuado para ellos.",Hope,Sarcasm
Espero que mi fiesta de clase social vaya a involucrar a tequila y chip y salsa ����������������,Hope,Sarcasm
"@brruhia nah bruh, solo lo bebes al revés ����",Not Hope,Sarcasm
Y no tuve que elegir ser homosexual. ,Not Hope,Sarcasm
"Entonces, en otras palabras, estás diciendo que en algún momento, Dios cambió de opinión.",Not Hope,Sarcasm
"Y tenga un hijo con una enfermedad terminal y vea que probablemente muera lentamente debido a mi ""alma gemela"". ",Not Hope,Sarcasm
"¡Fábrica de cerdo!
",Hope,Sarcasm
Me encanta cómo intentas ser MR. ,Not Hope,Sarcasm
Guau. ,Not Hope,Sarcasm
"Te han lavado el cerebro, en realidad. ",Not Hope,Sarcasm
"Supongo que te perdiste este bit:
",Not Hope,Sarcasm
Tengo todo un nuevo testamento. ,Not Hope,Sarcasm
"Es curioso, pensé que Heribert Nilsson era botánico. ",Not Hope,Sarcasm
"Oh, bueno, eso resuelve el argumento, ¿no? ",Not Hope,Sarcasm
"¿Cómo puedo hacer un argumento ""legítimo"" con alguien que cree que todas las religiones se basan en ""un hombre en el cielo""?
",Not Hope,Sarcasm
No puede esperar que esos cheques de $ 2000 salgan de inmediato,Not Hope,Sarcasm
"Ok, te consigo, es un redneck oh querido debería haber sabido que nuestra marca (Irlanda) es ligeramente diferente ...",Not Hope,Sarcasm
":pag
",Not Hope,Sarcasm
"Vaya, me pregunto si debería dejar que las malas hierbas u otra hierba se enciendan en el patio después de pasar mucho tiempo empacándolo con festuca. ",Not Hope,Sarcasm
¿Quién más que un creacionista haría una afirmación tan ridícula?,Not Hope,Sarcasm
¿Cómo llenaría algunos de los vacíos? ,Not Hope,Sarcasm
Quizás le gustaría explicar simplista. ¿Es el principio antrópico simplista? ¿Qué ley natural creó la ley natural? ¿De dónde viene la información? ¿Es simplista la materia creando materia? ,Not Hope,Sarcasm
"Los republicanos, como intentan, dicen que ganaron, pero no sé ¿por qué no solo resuelven esto con una encuesta de Instagram?",Not Hope,Sarcasm
"Bien, entonces, ¿por qué no nos dices ""correcto"" visión sobre el matrimonio homosexual?
",Not Hope,Sarcasm
"¿Se supone que debo tomar eso como un insulto o simplemente un comentario pasajero, hmmm?",Not Hope,Sarcasm
¿Esto parece un poco irónico para alguien más? ,Not Hope,Sarcasm
"Por suerte para el segundo puesto de Brentford que no hay un equipo destacado como Leeds este año, o podrían no tener posibilidades de ganar la liga. ",Not Hope,Sarcasm
Me encanta cuando tienes que trabajar tan duro para evitar cualquier punto que hice. ,Not Hope,Sarcasm
jajaja. ,Not Hope,Sarcasm
"Hunter, ¿estaría interesado en discutir esto lógicamente? ",Not Hope,Sarcasm
"Vaya, ahí vas de nuevo. ",Not Hope,Sarcasm
"Siete demonios, ¿eh? ",Not Hope,Sarcasm
responsable por juicio? ,Not Hope,Sarcasm
"Todavía no lo entiendes, ¿tú, Smiley ... emoticonxbanhead si los cupcakes eran humanos? ",Hope,Sarcasm
"Bueno, eso podría suceder si SOMHOW estabas mutado en algunos ... no sé ... 600 personas armadas. ",Not Hope,Sarcasm
"Wow, un nuevo mundo valiente en el que vives ... ahora digamos que solo el 1% de todos los propietarios de armas se resistieron (en los Estados Unidos, que son varios cientos de miles de miles de pimienta por la tierra). ",Not Hope,Sarcasm
¿Pero no lo sabías? ,Not Hope,Sarcasm
"Como tener armas no sirven al estado. \ ""-Heinrich Himmler por prometer su apoyo a los ideales nazis, orgullosamente otorgamos \"" sí \ ""la medalla del holocausto y el genocidio. Felicitaciones ahora eres un defensor de Hitler"". ",Not Hope,Sarcasm
un poco más de 5 años ...? ,Not Hope,Sarcasm
"Odio romperte, pero definitivamente no es blanco.
",Not Hope,Sarcasm
@Ciara87c @rachaelsmarty @sashahumphreys2 mis convos de tinder se han filtrado,Not Hope,Sarcasm
"En realidad, desde donde se sienta este no creyente, Arch simplemente repite lo que la Biblia cristiana dice sobre quién entrará en el cielo y quién no.
",Not Hope,Sarcasm
Eso se debe a que los talibanes en Afganistán no tenían ningún aceite para sobornarlos.,Not Hope,Sarcasm
"¡Oh, sí, por supuesto que lo harás, y mientras estés en eso, serás un dictador genocida y la gente seguirá amando a tu maldito país en lugar de querer cambiarlo! ",Not Hope,Sarcasm
"No, no lo es. ",Not Hope,Sarcasm
"Entonces, ¿Clinton se pone con Lewinsky es un signo de inteligencia? ",Not Hope,Sarcasm
��� La App Store [es] ... un milagro económico?��� ���� Pero la magia de Apple no funciona hoy en #antitrusthearings #apple sofoca la innovación que es el alma de nuestra economía. ,Not Hope,Sarcasm
Alguien necesita revisar su pequeño diccionario de oro. ,Not Hope,Sarcasm
"No es mi culpa si no puedes entender lo que estoy diciendo ... reza por entender, no puedo darte ni hacerte entender lo que es incomprensible para ti, pero Dios puede ayudarte, reza.
",Hope,Sarcasm
¿Sabes que es un concepto novedoso? ,Not Hope,Sarcasm
Y mi hermana de 8 años piensa que hay hadas en el fondo del jardín.,Hope,Sarcasm
"Usa algo de sentido común, ¿verdad? ",Not Hope,Sarcasm
"Tu Biblia te ha hecho un gran mal servicio, te ha convertido en el cerebro en caca.
",Not Hope,Sarcasm
Creo que entiendo esto. ,Not Hope,Sarcasm
"No, en absoluto. ",Not Hope,Sarcasm
"Ah, claro. ",Not Hope,Sarcasm
"¡Dios mío ... satanista?! .. Dios mío, ¿cómo puedes decir tal cosa?  ",Not Hope,Sarcasm
"Me encanta cómo difuminan la cara de Tristan en esta temporada de Kardashians lmao como hmmmm, me pregunto quién es ese hombre misterioso",Not Hope,Sarcasm
¡Esas malditas personas negras! ,Not Hope,Sarcasm
"Haz, realmente no veo que sea un problema. ",Not Hope,Sarcasm
En realidad. ,Hope,Sarcasm
Así fue dominante y esclavizando a las mujeres. ,Not Hope,Sarcasm
Solo trato de brindar algo de consistencia al debate. ,Not Hope,Sarcasm
** Así que no me gustan tus mentiras y distorsiones deliberadas. ,Not Hope,Sarcasm
